epoch	kind	label
1787801650	slide	00 · What we are about to do
1787801677	slide	01 · Look at it before you touch it
1787801703	shell	the raw files
1787801729	prompt	what do you notice
1787801965	slide	02 · Three dialects, one table
1787801992	prompt	build the table, your schema
1787802151	prompt	did you lose anyone
1787802190	slide	03 · The obvious comparison
1787802217	prompt	simplest comparison
1787802270	prompt	do you believe it
1787802427	slide	04 · Making the arms comparable
1787802454	prompt	handle it, plan first
1787802585	prompt	which direction did you sort
1787802699	prompt	which one do you publish
1787802759	slide	05 · Why a curve, not a percentage
1787802786	prompt	survival, your choice of form
1787803047	prompt	explain the gap
1787803108	slide	06 · Subgroups test consistency
1787803136	prompt	fix the list first
1787803313	prompt	which subgroup benefits most
1787803550	slide	07 · Try to break your own result
1787803577	prompt	vary every choice
1787803899	prompt	which runs are junk
1787804125	slide	08 · Writing it down, from the log
1787804152	prompt	methods from the scripts
1787804352	prompt	results, every number sourced
1787805195	slide	09 · Let it review its own work
1787805223	prompt	four reviewers in parallel
1787805290	prompt	real defects, fix one
1787805456	slide	10 · What to take home
